min_support,PDO,max_rules,calibrator,acc,precision,recall,f1,auc,brier,objective
0.1,50,None,isotonic,0.9590163934426229,0.9787644787644788,0.9548022598870056,0.9666348903717826,0.9940179461615154,0.027408646737623565,0.8730882102677304
0.1,30,100.0,isotonic,0.9590163934426229,0.9806201550387597,0.9529190207156308,0.9665711556829035,0.9940004547760228,0.027112651719515813,0.8734405956339333
0.005,20,None,isotonic,0.9695550351288056,0.975517890772128,0.975517890772128,0.975517890772128,0.9939567263122912,0.022430643456914662,0.8794576707938634
0.1,100,None,isotonic,0.9590163934426229,0.9787644787644788,0.9548022598870056,0.9666348903717826,0.9939479806195449,0.027498340074614543,0.8730494112780539
0.1,10,None,isotonic,0.9566744730679156,0.975,0.9548022598870056,0.9647954329210275,0.993942150157714,0.027263932731691566,0.8724446854409675
0.005,30,None,isotonic,0.9707259953161592,0.9650735294117647,0.9887005649717514,0.9767441860465116,0.9939334044649677,0.021768972359230625,0.8802171918136276
0.1,10,100.0,isotonic,0.9601873536299765,0.9825242718446602,0.9529190207156308,0.9674952198852772,0.9939304892340523,0.02695514712275645,0.8736382042034925
0.1,30,None,isotonic,0.9601873536299765,0.9806576402321083,0.9548022598870056,0.9675572519083969,0.9938517779993352,0.02717770323027397,0.8736129498524928
0.1,30,None,sigmoid,0.9566744730679156,0.984313725490196,0.9453860640301318,0.9644572526416907,0.9937205926081404,0.029367837941368994,0.8701991673701108
0.1,50,None,sigmoid,0.9566744730679156,0.984313725490196,0.9453860640301318,0.9644572526416907,0.9937060164535633,0.029542794516406783,0.8700756382728587
0.1,20,None,isotonic,0.9566744730679156,0.9768339768339769,0.9529190207156308,0.9647283126787417,0.993691440298986,0.028222032974474336,0.8717684135037912
0.1,50,100.0,isotonic,0.9590163934426229,0.9806201550387597,0.9529190207156308,0.9665711556829035,0.993671033682578,0.02727498812577861,0.8732298748130499
0.1,30,100.0,sigmoid,0.9566744730679156,0.984313725490196,0.9453860640301318,0.9644572526416907,0.9936477118352545,0.029301292150017845,0.8702467456876196
0.1,100,100.0,isotonic,0.9590163934426229,0.9806201550387597,0.9529190207156308,0.9665711556829035,0.9936477118352545,0.0275386563885554,0.8730290848545754
0.1,100,None,sigmoid,0.9566744730679156,0.984313725490196,0.9453860640301318,0.9644572526416907,0.9936156442951846,0.029574765611595707,0.8700267135384195
0.05,30,None,sigmoid,0.9566744730679156,0.984313725490196,0.9453860640301318,0.9644572526416907,0.9935835767551148,0.026893708565892425,0.8708636565166745
0.1,50,100.0,sigmoid,0.9566744730679156,0.984313725490196,0.9453860640301318,0.9644572526416907,0.9935223569058906,0.029559172995875134,0.8700679330170131
0.05,50,None,isotonic,0.9590163934426229,0.9696969696969697,0.9642184557438794,0.9669499527856469,0.993446560902089,0.026039878390595607,0.8676829446478216
0.05,50,None,sigmoid,0.9566744730679156,0.984313725490196,0.9453860640301318,0.9644572526416907,0.9934290695165965,0.027131827807660425,0.8707114791607969
0.1,20,None,sigmoid,0.9566744730679156,0.984313725490196,0.9453860640301318,0.9644572526416907,0.9933795105910339,0.029697918358850474,0.8699195198546038
0.1,100,100.0,sigmoid,0.955503512880562,0.9823874755381604,0.9453860640301318,0.963531669865643,0.9933620192055413,0.02963654364887358,0.8697707136907001
0.05,10,None,isotonic,0.9625292740046838,0.9716446124763705,0.967984934086629,0.969811320754717,0.9933182907418097,0.02492024867472561,0.8753325560851243
0.05,100,None,sigmoid,0.9566744730679156,0.984313725490196,0.9453860640301318,0.9644572526416907,0.993300799356317,0.02713749356368038,0.8706709993861437
0.05,20,None,sigmoid,0.9566744730679156,0.984313725490196,0.9453860640301318,0.9644572526416907,0.9930734113449126,0.027382939325402023,0.8705080917272427
0.1,20,100.0,isotonic,0.9590163934426229,0.9769230769230769,0.9566854990583804,0.966698382492864,0.9930413438048428,0.028221475699508,0.8724263683061371
0.1,20,100.0,sigmoid,0.9566744730679156,0.982421875,0.9472693032015066,0.9645254074784276,0.9929597173392105,0.030160914115193012,0.8697978784242522
0.05,20,None,isotonic,0.9590163934426229,0.9679245283018868,0.9661016949152542,0.9670122525918945,0.9929451411846332,0.026351720590618667,0.8674725055160672
0.05,30,None,isotonic,0.9601873536299765,0.9715370018975332,0.9642184557438794,0.9678638941398866,0.9926536180930892,0.02584481529586288,0.8681163214105362
0.05,100,None,isotonic,0.9578454332552693,0.9678638941398866,0.9642184557438794,0.9660377358490566,0.9926069743984421,0.026102399990630586,0.8671364230440924
