Dataset,RulesFrom,Model,Accuracy (%),Precision (%),Recall (%),F1 Score (%),Balanced Accuracy (%),MCC (%),Error Rate (%),AUC (%),Time Training (s)
magic_gamma,RF,FIGS,80.31019978969506,78.46921797004993,95.85365853658536,86.29460201280878,73.85688879210221,55.99063099450638,19.68980021030494,84.86059693186218,5.16907000541687
magic_gamma,RF,GAM,78.04942166140904,75.94654788418708,96.79643146796431,85.11321091103584,70.14709465774898,50.780163534323094,21.950578338590955,77.98797578305614,0.4009590148925781
magic_gamma,RF,SLIM,79.23238696109358,77.60210803689066,95.53933495539336,85.6415848782261,72.35860619219594,53.19463356406248,20.76761303890642,72.35860619219594,0.689054012298584
magic_gamma,RF,TREEGAM,79.91587802313354,78.15405046480744,95.6910569105691,86.03801169590643,73.36636178861788,55.01716475081994,20.084121976866452,84.53265643147503,41.20569324493408
mushroom,DT,EBM,94.39999999999999,97.95918367346938,91.10320284697508,94.40688383527966,94.52858352067423,89.04919759298059,5.600000000000005,94.78054567022538,0.9787449836730957
mushroom,DT,EBMLASSO,95.50769230769231,97.52781211372064,93.70546318289786,95.57843731072077,95.57559238327525,91.09193016072149,4.492307692307696,96.28810561728902,0.8295810222625732
mushroom,DT,FIGS,94.39999999999999,97.95918367346938,91.10320284697508,94.40688383527966,94.52858352067423,89.04919759298059,5.600000000000005,94.78054567022538,3.7878119945526123
mushroom,DT,GAM,95.07692307692308,98.3502538071066,92.04275534441805,95.0920245398773,95.19123718689613,90.36397271050579,4.923076923076919,95.62557069314379,0.16575312614440918
mushroom,DT,SLIM,94.21538461538461,96.63341645885288,92.04275534441805,94.28223844282239,94.29723974117454,88.54345940373291,5.784615384615388,95.12009962292541,0.057801246643066406
mushroom,DT,TREEGAM,94.39999999999999,97.95918367346938,91.10320284697508,94.40688383527966,94.52858352067423,89.04919759298059,5.600000000000005,94.62126797183363,5.280279159545898
mushroom,RF,EBM,93.53846153846153,92.12328767123287,95.72953736654804,93.89179755671903,93.45300397739167,87.11120130014875,6.4615384615384635,98.23383786440462,3.482002019882202
mushroom,RF,EBMLASSO,95.44615384615385,93.93592677345538,97.5059382422803,95.68764568764568,95.36855021947986,90.93815503964571,4.553846153846153,98.50391180762217,2.615081787109375
mushroom,RF,FIGS,95.07692307692308,92.81705948372615,98.10201660735468,95.38638985005767,94.95893669242415,90.27683168511406,4.923076923076919,98.6259643885405,4.713502883911133
mushroom,RF,GAM,91.44615384615385,92.70959902794654,90.61757719714964,91.65165165165166,91.47737097405376,82.9069696999888,8.553846153846155,96.07173518017977,0.13930892944335938
mushroom,RF,SLIM,93.9076923076923,89.47927736450585,100.0,94.4475602916433,93.67816091954023,88.41142771939677,6.092307692307697,95.48450899912937,0.4006168842315674
mushroom,RF,TREEGAM,93.2923076923077,90.24122807017544,97.62752075919336,93.78917378917379,93.1232232951977,86.83927533451372,6.707692307692303,97.50267738226344,29.475597143173218
spambase,DT,EBM,85.01628664495115,93.75,69.23076923076923,79.64601769911505,82.92046936114733,70.17420146153457,14.983713355048856,83.52020860495436,0.6658148765563965
spambase,DT,EBMLASSO,85.66775244299674,94.25287356321839,67.76859504132231,78.84615384615384,82.54021149915577,70.5713714802489,14.332247557003253,82.86382890488464,1.1919658184051514
